i, time, sound
271, 5.64583, -2977
272, 5.66667, -1566
273, 5.6875, 61
274, 5.70833, 2049
275, 5.72917, 4361
276, 5.75, 6950
277, 5.77083, 9790
278, 5.79167, 12711
279, 5.8125, 15400
280, 5.83333, 17620
281, 5.85417, 19344
282, 5.875, 20608
283, 5.89583, 21318
284, 5.91667, 21292
285, 5.9375, 20493
286, 5.95833, 19170
287, 5.97917, 17703
288, 6, 16348
289, 6.02083, 15158
290, 6.04167, 14058
291, 6.0625, 12918
292, 6.08333, 11645
293, 6.10417, 10297
294, 6.125, 9051
295, 6.14583, 8006
296, 6.16667, 7116
297, 6.1875, 6394
298, 6.20833, 6066
299, 6.22917, 6416
300, 6.25, 7516
301, 6.27083, 9176
302, 6.29167, 11072
303, 6.3125, 12905
304, 6.33333, 14490
305, 6.35417, 15744
306, 6.375, 16517
307, 6.39583, 16523
308, 6.41667, 15534
309, 6.4375, 13642
310, 6.45833, 11242
311, 6.47917, 8772
312, 6.5, 6528
313, 6.52083, 4653
314, 6.54167, 3160
315, 6.5625, 1952
316, 6.58333, 890
317, 6.60417, -113
318, 6.625, -1062
319, 6.64583, -1924
320, 6.66667, -2705
321, 6.6875, -3501
322, 6.70833, -4457
323, 6.72917, -5682
324, 6.75, -7155
325, 6.77083, -8703
326, 6.79167, -10101
327, 6.8125, -11216
328, 6.83333, -12059
329, 6.85417, -12701
330, 6.875, -13194
331, 6.89583, -13557
332, 6.91667, -13789
333, 6.9375, -13875
334, 6.95833, -13820
335, 6.97917, -13625
336, 7, -13195
337, 7.02083, -12316
338, 7.04167, -10851
339, 7.0625, -8991
340, 7.08333, -7221
341, 7.10417, -5959
342, 7.125, -5244
343, 7.14583, -4795
344, 7.16667, -4363
345, 7.1875, -4014
346, 7.20833, -4045
347, 7.22917, -4669
348, 7.25, -5805
349, 7.27083, -7168
350, 7.29167, -8453
351, 7.3125, -9457
352, 7.33333, -10151
353, 7.35417, -10718
354, 7.375, -11410
355, 7.39583, -12278
356, 7.41667, -13121
357, 7.4375, -13692
358, 7.45833, -13851
359, 7.47917, -13511
360, 7.5, -12629
361, 7.52083, -11296
362, 7.54167, -9736
363, 7.5625, -8149
364, 7.58333, -6593
365, 7.60417, -5080
366, 7.625, -3774
367, 7.64583, -2981
368, 7.66667, -2891
369, 7.6875, -3379
370, 7.70833, -4163
371, 7.72917, -5047
372, 7.75, -5907
373, 7.77083, -6589
374, 7.79167, -7002
375, 7.8125, -7190
376, 7.83333, -7157
377, 7.85417, -6708
378, 7.875, -5702
379, 7.89583, -4327
380, 7.91667, -2881
381, 7.9375, -1380
382, 7.95833, 370
383, 7.97917, 2477
384, 8, 4945
385, 8.02083, 7783
386, 8.04167, 10873
387, 8.0625, 13872
388, 8.08333, 16443
389, 8.10417, 18506
390, 8.125, 20131
391, 8.14583, 21298
392, 8.16667, 21857
393, 8.1875, 21657
394, 8.20833, 20702
395, 8.22917, 19253
396, 8.25, 17731
397, 8.27083, 16422
398, 8.29167, 15328
399, 8.3125, 14285
400, 8.33333, 13146
401, 8.35417, 11868
402, 8.375, 10541
403, 8.39583, 9333
404, 8.41667, 8324
405, 8.4375, 7453
406, 8.45833, 6743
407, 8.47917, 6480
408, 8.5, 6978
409, 8.52083, 8231
410, 8.54167, 9919
411, 8.5625, 11720
412, 8.58333, 13435
413, 8.60417, 14931
414, 8.625, 16072
415, 8.64583, 16659
416, 8.66667, 16423
417, 8.6875, 15211
418, 8.70833, 13182
419, 8.72917, 10728
420, 8.75, 8229
421, 8.77083, 5949
422, 8.79167, 4062
423, 8.8125, 2603
424, 8.83333, 1432
425, 8.85417, 368
426, 8.875, -646
427, 8.89583, -1592
428, 8.91667, -2485
429, 8.9375, -3349
430, 8.95833, -4180
431, 8.97917, -5055
432, 9, -6156
433, 9.02083, -7568
434, 9.04167, -9098
435, 9.0625, -10430
436, 9.08333, -11440
437, 9.10417, -12208
438, 9.125, -12801
439, 9.14583, -13216
440, 9.16667, -13480
441, 9.1875, -13653
442, 9.20833, -13744
443, 9.22917, -13721
444, 9.25, -13529
445, 9.27083, -13041
446, 9.29167, -12082
447, 9.3125, -10594
448, 9.33333, -8811
449, 9.35417, -7179
450, 9.375, -6044
451, 9.39583, -5428
452, 9.41667, -5086
453, 9.4375, -4776
454, 9.45833, -4539
455, 9.47917, -4689
456, 9.5, -5449
457, 9.52083, -6682
458, 9.54167, -8064
459, 9.5625, -9356
460, 9.58333, -10427
461, 9.60417, -11206
462, 9.625, -11782
463, 9.64583, -12384
464, 9.66667, -13123
465, 9.6875, -13830
466, 9.70833, -14247
467, 9.72917, -14225
468, 9.75, -13686
469, 9.77083, -12606
470, 9.79167, -11117
471, 9.8125, -9468
472, 9.83333, -7827
473, 9.85417, -6232
474, 9.875, -4740
475, 9.89583, -3537
476, 9.91667, -2867
477, 9.9375, -2842
478, 9.95833, -3348
479, 9.97917, -4138
480, 10, -4975
481, 10.0208, -5704
482, 10.0417, -6251
483, 10.0625, -6583
484, 10.0833, -6695
485, 10.1042, -6551
486, 10.125, -6022
487, 10.1458, -5010
488, 10.1667, -3657
489, 10.1875, -2209
490, 10.2083, -688
491, 10.2292, 1079
492, 10.25, 3187
493, 10.2708, 5638
494, 10.2917, 8439
495, 10.3125, 11480
496, 10.3333, 14416
497, 10.3542, 16894
498, 10.375, 18841
499, 10.3958, 20350
500, 10.4167, 21389
501, 10.4375, 21785
502, 10.4583, 21443
503, 10.4792, 20436
504, 10.5, 19009
505, 10.5208, 17513
506, 10.5417, 16226
507, 10.5625, 15158
508, 10.5833, 14121
509, 10.6042, 12950
510, 10.625, 11643
511, 10.6458, 10329
512, 10.6667, 9146
513, 10.6875, 8143
514, 10.7083, 7316
515, 10.7292, 6747
516, 10.75, 6700
517, 10.7708, 7413
